title,description,link,platform,publish_at,country,location,categories
Day 2 of Living with the Cartel [Illegal Pharmacies/Moonshine/Barber],"Episode 2 takes you deeper into the digital world of the cartel, where each click and code hides something darker. This isn’t just any website; it’s a network built to evade, operate, and survive under the radar. We’re talking encrypted deals, hidden identities, and a ruthless game where trust doesn’t exist. From the tech they use to the tactics they rely on, this episode reveals the lengths cartels go to keep their operations alive online. Brace yourself—this is the underworld of the internet, raw and unfiltered.",https://rumble.com/v42imb5-cartel-website-episode-2-fix-v2.html,rumble,"December 17, 2023",Mexico,Mexico City,"Exploration, Humanisation, Travel, Social Issues, Interviews"
Day 2.5 of Living with the Cartel [Guns + Graffiti],"December 22, 2023—another day that threw me straight into the depths of reality. From intense encounters to stories most people turn away from, this day wasn’t just about seeing the world; it was about feeling the raw, unfiltered truth of it. Every moment was a reminder of the struggles, the grit, and the resilience of people who live life with everything on the line. This isn’t just a day; it’s a journey into a world that hits harder than any story could. Get ready for the real side of life, up close and personal.",https://rumble.com/v42tyw6-december-22-2023.html,rumble,"December 23, 2023",Mexico,Mexico City,"Adventure, Religion, Documentary, Travel, Exploration"
Day 3 of Living with the Cartel [Secret Hideout/Guns/Women],"Exploring the cartel’s hidden online world, where digital shadows conceal real dangers. This isn’t just any website—it’s a system built to keep crime thriving under the radar. Behind every encrypted message and hidden network lies a calculated move, showing the lengths cartels go to survive in the digital age. This journey takes you up close with the tech and tactics that keep them one step ahead, revealing a world where trust is scarce and stakes are life or death. Prepare to see a side of the internet most people will never know.",https://rumble.com/v436a8p-cartel-episode-3-website-cut-render.html,rumble,"December 24, 2023",Mexico,Mexico City,"Exploration, Culture, Adventure, Social Issues, Danger"
Open Drug Market in Streets of Rio,"In the streets of Rio, the open drug market is a reality that few outsiders ever witness. It’s chaotic, raw, and relentless—a place where deals happen in plain sight, and survival is the only rule that matters. Walking through these alleys, you see the harsh truth of life shaped by addiction and crime, with every corner holding stories of struggle and survival. This isn’t the Rio seen in postcards; it’s a gritty world that shows the darker side of the city, where desperation meets resilience on every street.",https://rumble.com/v34yq1y-open-drug-market-in-streets-of-rio.html,rumble,"January 13, 2024",Brazil,Rio,"Adventure, Exploration, Crime, Documentary, Humanisation"
I Kidnapped Speed in Brazil’s Favelas [Extended Cut],"Uncovering the depths of Brazil’s hidden online world, where the digital realm meets the underground. This isn’t just any website—it’s a gateway to a side of Brazil most never see, where crime, survival, and secrecy intersect. Every click reveals layers of a network that operates under the radar, showcasing the resilience and tactics used to keep things hidden from the surface. It’s a glimpse into a digital underworld that mirrors the gritty reality of life on Brazil’s toughest streets, where the stakes are high and every move counts.",https://rumble.com/v46p8p9-brazil-website-episode.html,rumble,"January 14, 2024",Brazil,Rio,"Interviews, Social Issues, Exploration, Humanisation, Crime"
Brazil but without Gangs [Extended Cut],"Santa Catarina, Brazil, without the favelas—this is a side of Brazil few get to see. A place where the beauty of the landscape and the calm of the streets mask a deeper, more complex reality. It’s Brazil, but without the chaos of the favelas, where life seems a bit more peaceful, yet still raw and real. This vlog takes you through a part of the country that’s often overlooked, offering a fresh perspective on what life is like when you step away from the usual hustle. It's not all what you expect—there’s a different kind of intensity here, one you won’t forget.",https://rumble.com/v48umau-santa-catarina-brasil-website-vlog-brazil-but-without-favelas.html,rumble,"January 24, 2024",Brazil,Santa Catarina,"Travel, Religion, Documentary, Culture, Interviews"
Scammers Attack Me in Dubai’s Illegal Markets [Part 2],"Dubai—a city known for its luxury and towering skyscrapers, but there’s a side to it that doesn’t make the brochures. Beneath the glamor lies a world of intense hustle, hidden stories, and real struggles. This journey takes you beyond the polished surface to reveal the side of Dubai that most people overlook. From gritty alleys to high-stakes encounters, it’s a raw look at a city built on ambition, where everyone’s chasing something bigger. Get ready to see Dubai stripped down to its real, unfiltered core.",https://rumble.com/v4ax572-dubai2-website-video-fix-v2.html,rumble,"January 28, 2024",ARE,Dubai,"Religion, Interviews, Culture, Adventure, Social Issues"
"Dubai’s $10,000,000 Secret Counterfeit Markets [Part 1]","Deep in the heart of Dubai, beyond the glitz and glamour, lies a $10,000,000 secret—its massive counterfeit markets. This isn’t the Dubai you see in travel ads; it’s a hidden world where knock-offs and fakes reign supreme. From luxury bags to high-end electronics, everything’s on display in these underground markets, where the stakes are high and business is booming. This journey peels back the layers on a side of Dubai built on deception and hustle, revealing a reality that’s as surprising as it is raw. Prepare to see Dubai like never before.",https://rumble.com/v3vzlvb-dubais-10000000-secret-counterfeit-markets.html,rumble,"January 28, 2024",ARE,Dubai,"Crime, Travel, Humanisation, Danger, Religion"
Day 4 of Living with the Cartel [Sicario Jungle Interview],"Inside the depths of the cartel’s online network lies a world few can imagine—a web of encrypted transactions, hidden codes, and a ruthless drive to stay undetected. This isn’t just a website; it’s a whole underground ecosystem built to fuel organized crime while dodging the spotlight. Every layer peeled back reveals calculated moves, tactics, and a commitment to secrecy that keeps this operation alive. It’s a raw, unfiltered look at the digital underworld, where danger lurks behind every click and trust is nonexistent.",https://rumble.com/v459swn-cartel-website-episode-4-v5.html,rumble,"January 29, 2024",Mexico,Jungles of Mexico,"Crime, Exploration, Adventure, Social Issues, Travel"
Inside the Most Armed City in America,"Out in the vast, rugged landscape of Texas, there’s a world of grit and raw survival that goes beyond the movies. This isn’t just any range—it’s a place where the rules are simple, but life isn’t. From wide-open spaces to the intense culture of the people who live here, every moment is filled with a fierce, unfiltered reality. It’s Texas stripped down, where resilience is a way of life, and every encounter feels larger than life. Get ready to see the Texas range in all its untamed, authentic glory.",https://rumble.com/v4c07cc-texas-range-website-trim.html,rumble,"February 8, 2024",USA,Texas,"Exploration, Religion, Travel, Social Issues, Humanisation"
Inside The Most Satanic City in America,"Los Angeles—a city where dreams and reality collide in unexpected ways. Beneath the glamour lies a raw, unfiltered side, filled with people hustling to make it, each with their own story. This journey through LA reveals a mix of ambition, struggle, and resilience that’s hard to find anywhere else. From hidden corners to bustling streets, every encounter shows a different layer of the city that rarely gets the spotlight. This is Los Angeles beyond the bright lights, where life is as real as it gets.",https://rumble.com/v4ch54t-los-angeles-date-website.html,rumble,"February 14, 2024",USA,Los Angeles,"Adventure, Exploration, Social Issues, Interviews, Travel"
SKID ROW | America’s Land of Zombies,"Welcome to Skid Row, America’s forgotten land, where the streets are lined with stories of hardship, addiction, and survival. This isn’t just a neighborhood—it’s a stark reality check, where people live on the edge, day in and day out. The scene feels like a different world, a place where society’s outcasts create a life among the chaos. Here, you see the human cost of a system that’s left so many behind. It’s raw, intense, and haunting—a look into the harsh reality of America’s “land of zombies.”",https://rumble.com/v4d1avo-skid-row-americas-land-of-zombies.html,rumble,"February 14, 2024",USA,Los Angeles,"Culture, Humanisation, Social Issues, Adventure, Crime"
The Secret Society Underneath Las Vegas,"Beneath the glitz of Las Vegas lies a hidden world—a secret underground society that most people would never believe exists. Away from the bright lights and casinos, there’s a community living in the shadows, navigating a reality shaped by survival and secrecy. This isn’t the Vegas you know; it’s a side of the city where life is raw, intense, and unforgiving. It’s a glimpse into a hidden layer of society that stays out of sight but has stories that are as real as they come. Get ready to see Vegas like never before.",https://rumble.com/v4evrzr-the-secret-underground-society-of-las-vegas.html,rumble,"February 22, 2024",USA,Los Angeles,"Interviews, Adventure, Travel, Social Issues, Documentary"
Hunting For Desert Pirates in The Sahara,"In the vast emptiness of the Sahara, a hidden threat lurks—desert pirates who roam the sands, living by their own rules. This isn’t a typical adventure; it’s a dangerous journey into one of the most unforgiving landscapes on earth, where survival skills are tested to the limit. Out here, every encounter holds risk, and the relentless heat only adds to the intensity. This is a raw look at life in the Sahara, where the lines between hunter and hunted blur, and the rules of the desert are all that matter.",https://rumble.com/v4g2wfu-hunting-for-desert-pirates-in-the-sahara.html,rumble,"February 29, 2024",Egypt,Sahara,"Crime, Culture, Documentary, Humanisation, Religion"
102 Minutes of Jamaicans Scamming Me,"This is 102 minutes of nonstop hustle, where Jamaican scammers pull out every trick in the book to get what they want. From smooth talk to high-pressure tactics, they’re relentless, showing just how skilled they are at their craft. It’s a raw look at a world where persuasion is an art, and every call is a game of cat and mouse. This isn’t just a call; it’s a deep dive into the reality of scamming, where the stakes are high, and every second counts. Get ready for an intense ride through the mind games and manipulation that fuel this underground economy.",https://rumble.com/v4i79jl-102-minutes-of-jamaicans-scamming-me.html,rumble,"March 10, 2024",Jamaica,Montego,"Social Issues, Crime, Exploration, Culture, Travel"
Arab Becomes a Jamaican Rasta,"Stepping into the vibrant world of Jamaican Rasta culture, I didn’t just observe—I became a part of it. From the rhythms of reggae to the deep-rooted philosophies of Rastafari, this experience was about more than just appearance; it was a dive into a way of life. Surrounded by the spirit of unity, peace, and strength, I embraced the energy and mindset that make the Rasta lifestyle so powerful. This isn’t just a look—it’s a transformation that shows the true essence of Jamaican culture.",https://rumble.com/v4i80i0-arab-becomes-a-jamaican-rasta.html,rumble,"March 10, 2024",Jamaica,Blue Mountains,"Religion, Crime, Humanisation, Documentary, Interviews"
Inside Jamaica’s Most Dangerous Hood – Tivoli Gardens,"In the heart of Jamaica’s most dangerous hood, life is intense, raw, and filled with stories of survival. This isn’t the Jamaica you see on postcards; it’s a side where respect is everything, and every day is a test of resilience. Walking these streets, you feel the weight of a community shaped by hardship and strength, where every face tells a story. It’s a gritty reality, far from the beaches and resorts, showing the real struggles and the spirit that keeps this neighborhood alive. Prepare to see Jamaica like never before.",https://rumble.com/v4icize-jamaicas-most-dangerous-hood.html,rumble,"March 10, 2024",Jamaica,Kingston,"Documentary, Humanisation, Exploration, Culture, Crime"
Gun to My Head in Egyptian Slums (REMOVED from YouTube),"In the unforgiving slums of Egypt, every step feels like a gamble. This isn’t the Egypt you see in travel guides—it’s a raw, intense world where survival is the only rule. With a gun to my head, I faced the harsh reality of life on the edge, where every encounter carries weight and every moment is unpredictable. This experience strips away the illusions, showing the true grit and resilience of people who live in these conditions every day. Get ready for an unfiltered look at the side of Egypt most would never dare to see.",https://rumble.com/v3ehoui-gun-to-my-head-in-egyptian-slums.html,rumble,"April 6, 2024",Egypt,Cairo,"Social Issues, Exploration, Adventure, Interviews, Travel"
I Spent 17 Days Kidnapped in Haiti [Interview w/Negotiator],"Seventeen days kidnapped in Haiti—a reality that most can’t imagine, but one that reveals the raw and terrifying side of survival. In this interview, I dive deep with the negotiator who worked to secure my release, uncovering the intense world of hostage situations, high-stakes negotiations, and life on the line. Every moment felt like a lifetime, each decision carrying unimaginable weight. This is a story of resilience, fear, and the lengths people go to in a world where trust is scarce and survival is everything.",https://rumble.com/v4oyr2k-i-spent-17-days-kidnapped-in-haiti-interview-wnegotiator.html,rumble,"April 7, 2024",Haiti,Carribean,"Exploration, Travel, Crime, Interviews, Adventure"
Shot at in São Paulo’s Most Dangerous Favela (Removed from YouTube),"In the heart of São Paulo’s most dangerous favela, survival is a daily battle, and danger is around every corner. Getting shot at here isn’t just a possibility; it’s a harsh reality that many face. This isn’t the polished view of Brazil—it’s raw, chaotic, and intense, where every moment is a test of courage. Walking these streets shows a side of São Paulo that most people wouldn’t dare to explore, where life is lived on the edge, and every day brings new challenges. Prepare to see Brazil stripped down to its grittiest form.",https://rumble.com/v34ywes-shot-at-in-so-paulos-most-dangerous-favela-removed-from-youtube.html,rumble,"April 8, 2024",Brazil,São Paulo,"Exploration, Culture, Religion, Humanisation, Danger"
I Spent 17 Days Kidnapped in Haiti [PART 1],"Seventeen days held captive in Haiti—a journey into fear, resilience, and survival in its rawest form. This isn’t just a story; it’s a firsthand account of what it feels like when every second is borrowed time. In Part 1, I share the beginning of a nightmare that pushed me to my limits, navigating the harsh reality of life in captivity. Each day was a fight to stay calm, to stay alive, and to hold onto hope in a place where hope seemed impossible. This is survival, stripped down to its most intense, unfiltered form.",https://rumble.com/v4o8yqr-i-spent-17-days-kidnapped-in-haiti-part-1.html,rumble,"April 8, 2024",Haiti,Carribean,"Danger, Culture, Religion, Travel, Documentary"
Kidnappers Scam $600K & Keep Me Hostage [PART 3],"Held hostage while my kidnappers scam $600K—a situation that’s as intense as it sounds. In Part 3, the stakes reach a breaking point, with every moment spent wondering if I’d make it out alive. This isn’t just about money; it’s a twisted game of power and fear where each decision could mean life or death. The constant pressure, the psychological warfare, and the uncertainty make every second feel like an eternity. This is a raw look at survival in the face of relentless danger and deception, where trust doesn’t exist and escape seems impossible.",https://rumble.com/v4unuv0-kidnappers-scam-600k-and-keep-me-hostage-part-3.html,rumble,"May 12, 2024",Haiti,Carribean,"Humanisation, Travel, Adventure, Social Issues, Danger"
"Arrested & Extorted for $10,000 in Haiti [PART 4] [EXTENDED]","Arrested and extorted for $10,000 in Haiti—a brutal reality check in a place where corruption runs deep. This wasn’t just a random encounter; it was a relentless experience where power and greed took control. Facing officials who bend the rules for their gain, every moment was a test of endurance, forcing me to navigate a world where justice has a price. This extended cut dives into the intensity of a system that operates in shadows, revealing the raw truth of survival in an unforgiving environment.",https://rumble.com/v4uojdx-arrested-and-extorted-for-10000-in-haiti-extended-cut.html,rumble,"May 12, 2024",Haiti,Carribean,"Interviews, Humanisation, Religion, Danger, Culture"
Cock Fights to the DEATH in DR,"In the Dominican Republic, cockfighting isn’t just a sport—it’s a fierce, deadly battle where survival is on the line. These aren’t casual matches; they’re brutal fights to the death, fueled by adrenaline and intense rivalries. The crowd roars, betting runs high, and each fight is a raw display of aggression and strategy. This isn’t the side of the DR you’ll see in travel guides; it’s a glimpse into a world where tradition, pride, and intensity collide. Prepare to witness the unfiltered reality of a culture where every fight is a fight to the end.",https://rumble.com/v4o3oeh-cock-fights-to-the-death-in-dr.html,rumble,"May 13, 2024",Dominican Republic,Carribean,"Documentary, Travel, Exploration, Culture, Social Issues"
Inside the Smuggling Tunnels of the Dominican Republic,"In the roughest neighborhood of the Dominican Republic, street fights are a brutal part of everyday life. This isn’t just about anger; it’s survival, respect, and a way to settle scores where the rules are raw and unforgiving. The intensity is palpable, with each fight revealing a reality that most people wouldn’t dare to face. This is the DR’s grittiest side, where life on the edge is a constant battle, and every confrontation holds the weight of survival. Get ready to see the streets of the Dominican Republic in their most unfiltered form.",https://rumble.com/v4xdbqz-street-fights-in-dominicans-most-dangerous-hood.html,rumble,"May 13, 2024",Dominican Republic,Carribean,"Religion, Crime, Travel, Humanisation, Danger"
Escaping Trinidad to Venezuela with my Brazilian Chick,"Escaping to Trinidad and then on to Venezuela with a Brazilian chick—this journey was anything but ordinary. Crossing borders, navigating risky paths, and facing the unexpected, every moment was charged with thrill and uncertainty. This wasn’t just a getaway; it was an adventure filled with intensity, close calls, and the kind of experiences you can’t script. From the vibrant streets of Trinidad to the raw edge of Venezuela, this trip tested our nerve and pushed us to the limit. Buckle up for a wild ride across borders.",https://rumble.com/v4updh0-escaping-to-trinidad-to-venezuela-with-my-brazilian-chick.html,rumble,"May 13, 2024",Venezuela,Latin America,"Adventure, Exploration, Travel, Social Issues, Religion"
Arab’s First Trip after the Kidnapping – FILTHY RICH,"On my first trip since the kidnapping, stepping back into the world felt surreal. This time, I’m diving into the world of the filthy rich, surrounded by luxury that’s worlds apart from what I just endured. It’s a stark contrast—going from survival mode to witnessing opulence on another level. Every encounter feels sharper, every moment more intense, as I navigate this high-stakes environment with a new perspective. This journey is about more than wealth; it’s a raw reminder of how quickly life can flip, from danger to decadence.",https://rumble.com/v51u886-arabs-first-trip-after-the-kidnapping-filthy-rich.html,rumble,"June 17, 2024",ARE,Dubai,"Adventure, Interviews, Travel, Danger, Documentary"
Skydiving w/Luke Belmar – FILTHY RICH #2,"Jumping out of a plane with Luke Belmar, we took on skydiving as more than just an adrenaline rush—it’s a test of guts and mindset. This isn’t just about the thrill; it’s about pushing limits, taking risks, and experiencing the freedom that comes from diving headfirst into the unknown. Being up there, freefalling, is like facing any high-stakes decision where you either go all in or don’t go at all. With Luke by my side, this jump wasn’t just an adventure—it was a lesson in living life on the edge.",https://rumble.com/v51yffo-skydiving-wluke-belmar-filthy-rich-2.html,rumble,"June 26, 2024",ARE,Dubai,"Interviews, Crime, Travel, Exploration, Adventure"
Inside the World’s Deadliest Racetrack [Extended Cut],"Welcome to the most dangerous racetrack in the world, where speed, risk, and adrenaline collide at every turn. This isn’t your average race—it’s a test of skill, guts, and survival, where the margin for error is razor-thin. The track is unforgiving, and the stakes are sky-high as drivers push their limits at breakneck speeds. From heart-stopping near-misses to intense moments of pure focus, this is racing in its rawest, most intense form. Get ready to witness the thrill and danger of the world’s most lethal racetrack up close.",https://rumble.com/v57ekrm-the-most-dangerous-racetrack-in-the-world.html,rumble,"July 20, 2024",Germany,Nurburgring,"Exploration, Religion, Travel, Interviews, Culture"
I Investigated Europe’s Zombie Train Station [Extended Cut],"Inside the drug addiction capital of Europe, the streets are a haunting reflection of a crisis that’s spiraled out of control. This isn’t just about addiction; it’s a brutal look at the human toll, where survival becomes the only focus. The people here live in a world where hope is hard to find, and every day is a struggle just to get by. From the dark corners of the city to the faces of those trapped in addiction, this is a raw, unfiltered look at the realities of one of Europe’s most devastating epidemics. Prepare for a journey through a world many choose to ignore.",https://rumble.com/v57en6p-inside-the-drug-addiction-capital-of-europe.html,rumble,"July 20, 2024",Germany,Frankfurt,"Social Issues, Danger, Documentary, Crime, Adventure"
The German City with NO LAWS,"In this German park, where drugs are legally sold and consumed, the boundaries of what’s acceptable are pushed to the extreme. It’s a surreal place where society’s usual rules don’t apply, and people walk freely through a haze of smoke, exploring the limits of freedom and addiction. This park isn’t just about legality—it’s about the culture that’s formed around it, where everything is laid bare in a mix of curiosity, chaos, and consequence. Step into a world where the line between freedom and danger blurs, revealing a side of society few ever experience.",https://rumble.com/v52p9i7-the-german-park-where-drugs-are-legal.html,rumble,"July 27, 2024",Germany,Berlin,"Adventure, Exploration, Interviews, Danger, Social Issues"
Arab Does Drugs in Amsterdam,"In Amsterdam, the rules are different, and the experience is raw and unfiltered. I took a deep dive into the city’s drug culture, where everything is on display, and freedom takes on a new meaning. This isn’t just about substances; it’s about seeing how people live within a system where drugs are normalized and regulated. From the calm streets to the chaos of the nightlife, Amsterdam’s drug scene tells a story of indulgence, consequences, and a unique sense of liberty. Get ready for an unfiltered look into a world that many only hear about.",https://rumble.com/v52oftq-arab-does-drugs-in-amsterdam.html,rumble,"July 27, 2024",Netherlands,Amsterdam,"Adventure, Humanisation, Exploration, Culture, Religion"
I Took SNEAKO to a Warzone [YouTube Cut],"I took Sneako to a warzone—an experience that pushed us both to the limits. This isn’t just about chaos; it’s about confronting the raw reality of conflict, danger, and survival. As we navigated through one of the world’s most volatile regions, we saw firsthand the resilience of the people who live through it every day. From the constant threat of violence to the unshakable spirit of those who endure, this journey showed us a side of the world most only see in the news. It’s raw, intense, and unforgettable.",https://rumble.com/v59pt69-i-took-sneako-to-a-warzone-youtube-cut.html,rumble,"August 6, 2024",Lebanon,Beirut,"Culture, Travel, Danger, Social Issues, Documentary"
Inside Portugal’s Most Dangerous Hood w/SNEAKO,"Inside Portugal’s most dangerous hood, Cova de Moura, life is lived on the edge. This isn’t a place for the faint of heart—it’s a raw, unfiltered world where survival comes first, and every corner hides a new challenge. From the intense tension in the streets to the resilience of the people who call it home, Cova de Moura shows what happens when poverty and struggle collide. It’s a world where danger is constant, and trust is hard to come by. Get ready for an eye-opening journey into one of Europe’s toughest neighborhoods.",https://rumble.com/v5c9qht-inside-portugals-most-dangerous-hood-cova-de-moura.html,rumble,"August 27, 2024",Portugal,Amadora,"Social Issues, Crime, Adventure, Danger, Humanisation"
Finding a Virgin Wife in Catholic Portugal,"In the heart of Catholic Europe, I set out on a journey to find a virgin wife, navigating the cultural complexities and traditions that define this deeply rooted society. It’s more than just a quest for love—it’s an exploration of values, expectations, and the intersection of faith and relationships in a place where history shapes everything. From old-world customs to modern-day challenges, this journey takes a closer look at what it means to search for purity in a world that’s changing fast. Get ready for an unfiltered dive into love, tradition, and faith in one of Europe’s most conservative regions.",https://rumble.com/v5cab3u-finding-a-virgin-wife-in-catholic-europe.html,rumble,"August 27, 2024",Portugal,-,"Exploration, Crime, Adventure, Culture, Social Issues"
Fighting a Homeless in Barcelona’s Barrios,"In one of Spain’s most dangerous neighborhoods, things took an unexpected turn when a crackhead tried to fight me. This is a place where survival is a daily struggle, and conflict is always on the horizon. The streets are filled with tension, desperation, and raw energy, where the line between calm and chaos is razor-thin. Every encounter feels like it could escalate, and this one was no different. It’s an unfiltered look at life in a tough part of Spain, where every moment holds the potential for danger, but also a glimpse into the resilience of those who live there.",https://rumble.com/v5cdaq9-crackhead-tries-to-fight-me-in-spains-dangerous-hood.html,rumble,"August 27, 2024",Spain,Barcelona,"Culture, Social Issues, Adventure, Religion, Exploration"
Solo in Spain’s Gothic Hoods,"Solo in Spain’s Gothic hoods, I found myself navigating the narrow, dark streets where history and danger collide. These neighborhoods are filled with hidden stories, ancient buildings, and a sense of isolation that feels almost alive. As I walked through the gothic maze, I encountered a side of Spain that most people never see—the raw energy, the tension, and the resilience of those who live in the shadows. It’s a world where every corner holds a mystery, and every step brings you closer to the gritty heart of the city. Get ready for a journey through Spain’s most intense and haunting neighborhoods.",https://rumble.com/v5ce977-solo-in-spains-gothic-hoods.html,rumble,"August 27, 2024",Spain,Barcelona,"Interviews, Social Issues, Humanisation, Religion, Culture"
1st Time Taking Shrooms w/Luke Belmar in Ibiza,"Taking shrooms with Luke Belmar, we stepped into a mind-bending experience where reality and perception collide. This isn’t just about the trip—it’s about exploring the depths of consciousness, questioning everything, and embracing a new perspective on life. With every moment, the world around us shifted, revealing new layers of thought and connection. Luke and I ventured deep into the psychedelic, challenging the way we see the world and ourselves. It’s a raw, unfiltered look at the power of psychedelics and the profound effects they can have on the mind.",https://rumble.com/v5ceksl-taking-shrooms-w-luke-belmar.html,rumble,"August 27, 2024",Spain,Ibiza,"Crime, Social Issues, Religion, Travel, Humanisation"
The Secret Knowledge Vortex the Elites are Hiding From You,"The Secret Knowledge Vortex—the elites are hiding something, and this journey takes you right to the heart of it. This isn’t just about conspiracy theories; it’s about uncovering the hidden truths that powerful people don’t want you to know. From ancient knowledge to modern-day secrets, this dive reveals the systems, agendas, and information that are kept from the public eye. The more we dig, the more we uncover—a world of hidden power, control, and manipulation. Get ready for an eye-opening journey into the knowledge they don’t want you to have.",https://rumble.com/v5cibjg-the-secret-knowledge-vortex-the-elites-are-hiding-from-you.html,rumble,"August 27, 2024",Spain,-,"Danger, Religion, Travel, Documentary, Interviews"
Avoiding Gunfire on Lebanon’s Border,"In Tripoli, Lebanon, the streets are filled with tension and danger, where gunfire can erupt at any moment. Avoiding it isn’t just about luck; it’s about understanding the pulse of the city and staying alert in a place where conflict is never far away. As I navigated through the chaos, the sounds of gunshots and the threat of violence were constant reminders of the harsh reality faced by the people living there. This is an unfiltered look at survival in a city on the edge, where every step could lead you into the line of fire.",https://rumble.com/v5cjc9t-avoiding-gunfire-in-tripoli-lebanon.html,rumble,"October 11, 2024",Lebanon,-,"Humanisation, Social Issues, Exploration, Culture, Religion"
I Spent a Day with Lebanon’s Religious ‘Extremists’ [UNCENSORED],"In Lebanon, a religious cult stands as a powerful force, protecting its own while influencing the course of the country’s future. This isn’t just about belief; it’s about a community that has woven itself into the fabric of Lebanon’s history, politics, and survival. From their secretive practices to their unwavering loyalty, this cult operates in the shadows, shaping the direction of a nation. This journey takes you inside their world, revealing the power structures, rituals, and secrets that keep them hidden yet influential. Get ready for an unfiltered look at a force that’s protecting Lebanon in ways most never see.",https://rumble.com/v5i9jq9-the-religious-cult-protecting-lebanon.html,rumble,"October 11, 2024",Lebanon,-,"Danger, Interviews, Documentary, Crime, Social Issues"
I Fought Triads in the Streets of Taiwan,"In the streets of Taiwan, I found myself face-to-face with the Triads, one of the most notorious crime syndicates in the world. This isn’t just a fight—it’s a battle for survival in a city where the underworld operates in the shadows, and every confrontation holds life-or-death stakes. From the adrenaline-pumping chaos to the raw intensity of the encounter, this is a real, unfiltered look at what it’s like when you’re caught in the crossfire of organized crime. The streets of Taiwan may seem peaceful, but beneath the surface, danger is never far away.",https://rumble.com/v5kjm9n-i-fought-triads-in-the-streets-of-taiwan.html,rumble,"October 30, 2024",Taiwan,-,"Religion, Culture, Crime, Interviews, Danger"
Hindu Guru Destroys Christianity,"In this encounter with a spiritual guru, the discussion takes a sharp turn as he challenges and deconstructs Christianity with bold arguments and deep philosophical insights. This isn’t just a debate; it’s an intense exploration of spiritual beliefs, where the guru’s perspective shakes the foundations of traditional Christian teachings. As we dive into the heart of his critique, it becomes clear that this is a clash of ideologies—where ancient wisdom confronts modern faith. Get ready for a thought-provoking look at religion, belief, and the power of questioning everything.",https://rumble.com/v5kkcij-spiritual-guru-destroys-christianity.html,rumble,"November 12, 2024",Nepal,Kathamandu,"Adventure, Religion, Danger, Social Issues, Exploration"
