title,link,publish_at
America is Falling,https://www.youtube.com/shorts/eJe04iaYoWE,"November 19, 2024"
Women are Useless Now,https://www.youtube.com/shorts/hQAYs9CvcuQ,"November 18, 2024"
I'm Leaving America Forever,https://www.youtube.com/shorts/mp491bL8BQM,"November 18, 2024"
The Dark Side of Asia,https://www.youtube.com/shorts/cW91qzbiFZE,"November 9, 2024"
Black People Exist in Asia Apparently,https://www.youtube.com/shorts/M9CedfIQ7EE,"November 8, 2024"
How Dealers in Asia Work,https://www.youtube.com/shorts/6AlYsbo2_OU,"November 8, 2024"
Inside the Secret Rituals of Buddhism,https://www.youtube.com/shorts/WqvO5z0Gals,"November 7, 2024"
The Man Who is Addicted to Tea,https://www.youtube.com/shorts/8R6AsIGv_5o,"November 6, 2024"
40% Off Ancient Jewelry Bargain,https://www.youtube.com/shorts/wCiAz5TT9aY,"November 6, 2024"
30% Off Sword Bargain in Taiwan,https://www.youtube.com/shorts/2qxVXueyJ0I,"November 5, 2024"
Accidentally Destroying $1000 Art Piece,https://www.youtube.com/shorts/ZZ9adLoYYw0,"November 5, 2024"
Avoiding Scammers in Taiwan,https://www.youtube.com/shorts/iT35SqmU4Vc,"November 4, 2024"
World’s Strongest Old People,https://www.youtube.com/shorts/bG0woYFGWSM,"November 4, 2024"
Every Country Steals From America,https://www.youtube.com/shorts/cYms-2oysro,"November 3, 2024"
Asian Girl SHOWERS Me,https://www.youtube.com/shorts/HgOH7b-sAD8,"November 3, 2024"
How Asian Barbers Work,https://www.youtube.com/shorts/HNXEU9W1Zvs,"November 2, 2024"
Arab and Jew Solve World Peace,https://www.youtube.com/shorts/ihY9Sl7l4Vo,"November 1, 2024"
How to Rizz Asian Girls,https://www.youtube.com/shorts/Em0hM6raMmc,"November 1, 2024"
I Fought the Triads in Taiwan,https://www.youtube.com/shorts/22HnsDgynnQ,October 31 2024
Exposing America’s Healthcare System,https://www.youtube.com/shorts/tuCaRAv7LfA,October 31 2024
The Dark Truth About WW3,https://www.youtube.com/shorts/oBiANm_UhgM,October 18 2024
I Visited a Warzone,https://www.youtube.com/shorts/p0z_DoeJKyQ,October 17 2024
I Got BANNED From America,https://www.youtube.com/shorts/5gZ1dqVkDo8,October 17 2024
Meet the Druze Community of Lebanon,https://www.youtube.com/shorts/Jd0Efq7th_o,October 16 2024
RPG Explosions in Lebanon,https://www.youtube.com/shorts/rdP_BSGNdxw,October 13 2024
$0.50 Fruit Stand in Lebanon,https://www.youtube.com/shorts/LgOKnWdyU78,October 12 2024
Syrians Escaping to Lebanon,https://www.youtube.com/shorts/gPfg2avO3jc,"October 11, 2024"
Buying Fake Shoes in Lebanon,https://www.youtube.com/shorts/VKRu5OF65TI,"October 11, 2024"
Lebanon’s War Defense Castle,https://www.youtube.com/shorts/EnnfGF4WH8U,"October 10, 2024"
Giving Salesmen 250x Their Price,https://www.youtube.com/shorts/iQxg9nA9ay4,"October 10, 2024"
Helping the Homeless in Lebanon,https://www.youtube.com/shorts/3lRDrzAqNa4,"October 9, 2024"
Followed by Beggar in Lebanon,https://www.youtube.com/shorts/AieJGwaKIOQ,"October 9, 2024"
Money is FAKE,https://www.youtube.com/shorts/viLrKMR3ntQ,"October 8, 2024"
Blessing the Children of Lebanon,https://www.youtube.com/shorts/sDx4dkaidDI,"October 8, 2024"
Arab Blows Up Car,https://www.youtube.com/shorts/Y9yoHdFkYQo,"October 7, 2024"
Infinite Money Glitch in Lebanon,https://www.youtube.com/shorts/jshc9mKRME8,"October 7, 2024"
He Delivers Water for $1.20,https://www.youtube.com/shorts/m752MBeDaqA,"October 6, 2024"
Avoiding Gunfire in Lebanon,https://www.youtube.com/shorts/8VC1rPbyqTo,"October 6, 2024"
Arab Meets a Fake Fan,https://www.youtube.com/shorts/CbvBmUZYUE4,"October 5, 2024"
Arab Gets Stranded at Sea,https://www.youtube.com/shorts/YDfiFNEsA9E,"October 3, 2024"
"$40,000 a Week Mansion",https://www.youtube.com/shorts/UBAxzgwn5I8,"October 2, 2024"
World’s Largest Church,https://www.youtube.com/shorts/paI9l55lQB8,"October 1, 2024"
Nude Beaches in Spain,https://www.youtube.com/shorts/Fv8p7NrRzrA,"October 1, 2024"
Fake Homeless People in Spain,https://www.youtube.com/shorts/uP5dkrYZhfw,"September 28, 2024"
The New York of Europe,https://www.youtube.com/shorts/tlAxYYp1Wh4,"September 28, 2024"
Stealing is Legal Here,https://www.youtube.com/shorts/YPAvdjG74Rw,"September 27, 2024"
Attacked by Homeless in Spain,https://www.youtube.com/shorts/23X3WRGpkXc,"September 26, 2024"
LGBT in Portugal,https://www.youtube.com/shorts/6DL3L3oPpWY,"September 26, 2024"
Portugal’s WORST Food,https://www.youtube.com/shorts/Fusspz9XE7s,"September 26, 2024"
$2 COVID Vending Machine,https://www.youtube.com/shorts/NIeNDRULOL4,"September 25, 2024"
All Men Need to Hear This,https://www.youtube.com/shorts/g8_dhNFZkZc,"September 25, 2024"
The Solution to Racism,https://www.youtube.com/shorts/QkGH26NyZ7k,"September 25, 2024"
Why God is Real,https://www.youtube.com/shorts/qXfWP9ST7Xk,"September 24, 2024"
World’s Most Painful Sacrifice,https://www.youtube.com/shorts/-ft0Kpx7rEY,"September 21, 2024"
This Family ESCAPED China,https://www.youtube.com/shorts/gBN4I9R9rwI,"September 20, 2024"
I’m the Best Wingman,https://www.youtube.com/shorts/IKBXzB9-Or0,"September 19, 2024"
Poisoned in Portugal,https://www.youtube.com/shorts/P0tipykRhnk,"September 19, 2024"
How to Skip ANY Line,https://www.youtube.com/shorts/TOhYVCX6COQ,"September 18, 2024"
World’s Most Dangerous Racetrack,https://www.youtube.com/shorts/dmNvLsc4c6A,"September 17, 2024"
SNEAKO Gets Kidnapped in Haiti,https://www.youtube.com/shorts/F4K-4C6mxVk,"September 16, 2024"
Sinking in Deadly Quicksand,https://www.youtube.com/shorts/81Uekqt4WNs,"September 16, 2024"
America is Cooked,https://www.youtube.com/shorts/_1hHJbznVys,"September 15, 2024"
Buying Illegal Street Food,https://www.youtube.com/shorts/xjtgEO2SCSY,"September 15, 2024"
The Country Where Slavery is Legal,https://www.youtube.com/shorts/Q03qOY-06pk,"September 14, 2024"
$3 Nigiri in Portugal,https://www.youtube.com/shorts/qmqU8YqkXzw,"September 14, 2024"
Kidnap Victim Gets Bullied,https://www.youtube.com/shorts/XXunhMe6-jI,"September 13, 2024"
$5 Bangladeshi Food in Portugal,https://www.youtube.com/shorts/NLC0QVtRuhk,"September 13, 2024"
Inside the World’s Most Illegal Sport,https://www.youtube.com/shorts/TBOLl7myEpA,"September 12, 2024"
SNEAKO is Dangerous to Society,https://www.youtube.com/shorts/H8oUEVLW7DU,"September 12, 2024"
A Message to Antifa,https://www.youtube.com/shorts/R5VHNZs3-3Y?feature=share,"September 11, 2024"
Portugal’s Gayest Street,https://www.youtube.com/shorts/RLgKg4lBOlQ?feature=share,"September 11, 2024"
World’s Most Dangerous Island,https://www.youtube.com/shorts/4_2nyK4pMpg?feature=share,"September 10, 2024"
Feeding the Homeless in Portugal,https://www.youtube.com/shorts/n1wYdLiPOCA?feature=share,"September 10, 2024"
Satanist vs. Christianity,https://www.youtube.com/shorts/kkjoLeyEc5M?feature=share,"September 9, 2024"
Arab Gets Robbed in Portugal,https://www.youtube.com/shorts/OWboxQ8qxlo?feature=share,"September 9, 2024"
Proof God is Real,https://www.youtube.com/shorts/nLZRurxX52U?feature=share,"September 7, 2024"
Giving Muslims Haram Food,https://www.youtube.com/shorts/dKHaKFm9xAQ?feature=share,"September 7, 2024"
Indians Own Every Corner Store,https://www.youtube.com/shorts/VLbVCIP-8VU?feature=share,"September 6, 2024"
How much to eat this?,https://www.youtube.com/shorts/eznQ3BaT0MA?feature=share,"September 6, 2024"
I Investigated Hitler’s “Death”,https://www.youtube.com/shorts/lwPjBwOQzpI?feature=share,"September 5, 2024"
Inside Europe’s Street of Zombies,https://www.youtube.com/shorts/O5_uUauKibU?feature=share,"September 4, 2024"
Is this homophobic?,https://www.youtube.com/shorts/1vhxESpX5To?feature=share,"September 3, 2024"
World’s Biggest Terrorist Dies,https://www.youtube.com/shorts/7vysAiXhI2s?feature=share,"September 3, 2024"
Investigating Europe’s Most Feared Street,https://www.youtube.com/shorts/DGqV9-D49ZY?feature=share,"September 2, 2024"
The Skid Row of Europe,https://www.youtube.com/shorts/wEZx-dEgs5E?feature=share,"September 2, 2024"
Europe’s Land of Zombies,https://www.youtube.com/shorts/qax-RpcICqg?feature=share,"September 1, 2024"
15 Year Old Pimp,https://www.youtube.com/shorts/wzngLWwlZLk?feature=share,"September 1, 2024"
Visiting a Country AT WAR,https://www.youtube.com/shorts/tgxtSaev3js?feature=share,"September 1, 2024"
World’s Deadliest Racetrack,https://www.youtube.com/shorts/3M36zYfr3qk?feature=share,"September 1, 2024"
Stealing Blind People’s Glasses,https://www.youtube.com/shorts/z4PbnvZWUDo?feature=share,"August 31, 2024"
Are Germans Racist?,https://www.youtube.com/shorts/WzUtEgi6RBg?feature=share,"August 30, 2024"
Gothic Megachurch in Germany,https://www.youtube.com/shorts/J8z-LfWYr2E?feature=share,"August 30, 2024"
Magic Eternal Love Bridge,https://www.youtube.com/shorts/oIt4LZoGL3k?feature=share,"August 29, 2024"
Anime is for Losers,https://www.youtube.com/shorts/8dmbAuaVj5Q?feature=share,"August 28, 2024"
Israeli & Arab Fall in Love,https://www.youtube.com/shorts/E86cq-J0luE?feature=share,"August 28, 2024"
Buying the Homeless Alcohol,https://www.youtube.com/shorts/mhMMRqslK2g?feature=share,"August 23, 2024"
Amsterdam’s Best Beatboxer,https://www.youtube.com/shorts/naCR3N25v6w?feature=share,"August 22, 2024"
Trump is the Best President,https://www.youtube.com/shorts/e2xhTrFa2oc?feature=share,"August 21, 2024"
Fairytale Apartments in Amsterdam,https://www.youtube.com/shorts/isqAQRKaRBc,"August 21, 2024"
Floating Houses in Amsterdam,https://www.youtube.com/shorts/iOxJMKZunlw?feature=share,"August 20, 2024"
Non-Binary Gets Misgendered,https://www.youtube.com/shorts/8jVwQm-tRQw?feature=share,"August 20, 2024"
Gen Z is Cooked,https://www.youtube.com/shorts/cKLr0FdOIiA,"August 19, 2024"
$22 Mojito in Ibiza,https://www.youtube.com/shorts/9i1CSqNnpoU,"August 19, 2024"
Meeting my Sugar Daddy,https://www.youtube.com/shorts/0yUyDUq6S8A,"August 18, 2024"
I Almost Died Skydiving...,https://www.youtube.com/shorts/yjKMg6zNxTE,"August 17, 2024"
World’s Most Futuristic Bathroom,https://www.youtube.com/shorts/pJW2hpEYcOw,"August 17, 2024"
Dubai’s Youngest Billionaire,https://www.youtube.com/shorts/vSIoq5hkFGw,"August 16, 2024"
Money Isn’t Real,https://www.youtube.com/shorts/PmMo4I-Ulnw,"August 14, 2024"
Stop Scrolling,https://www.youtube.com/shorts/1NhxGWe9SGI,"August 13, 2024"
Arabs Shoot Guns Outside of Tunnels,https://www.youtube.com/shorts/2tz2efXenC0,"August 11, 2024"
Bodybuilder vs. Dad Bod,https://www.youtube.com/shorts/CoMQvQhcmBw,"August 11, 2024"
Arab Bullies his Fans,https://www.youtube.com/shorts/KKRQuNeVt_k,"August 10, 2024"
Legal Slaves in Lebanon,https://www.youtube.com/shorts/m40zERfYOXI,"August 10, 2024"
This Kid Funds Dangerous Groups,https://www.youtube.com/shorts/3T7Djm6wN4A,"August 9, 2024"
Taking SNEAKO to a Warzone,https://www.youtube.com/shorts/pM2RkvevNyA,"August 9, 2024"
High IQ Homeless,https://www.youtube.com/shorts/pnCNjUSAQE0,"August 8, 2024"
France is Falling,https://www.youtube.com/shorts/Lr3RT61Z2tI,"August 7, 2024"
Most Feared Man in Germany,https://www.youtube.com/shorts/zq7btmjDk1Y,"August 3, 2024"
This Club Denied Elon Musk,https://www.youtube.com/shorts/IdKWI21IJJE,"August 2, 2024"
The German City with NO LAWS,https://www.youtube.com/shorts/_jhuqvcrZ_0,"August 2, 2024"
This Road has No Speed Limit,https://www.youtube.com/shorts/zCgyC5E_kuE,"August 1, 2024"
This Street BANNED Women,https://www.youtube.com/shorts/9gGosT53gtA,"August 1, 2024"
Transgender Street in Germany,https://www.youtube.com/shorts/J7l3uHuBDks,"July 31, 2024"
The Sin City of Germany,https://www.youtube.com/shorts/4fBsznTcNZw,"July 30, 2024"
Arab is Still Kidnapped,https://www.youtube.com/shorts/C_Us2xG98Q0,"July 29, 2024"
Why Women Deserve No Rights,https://www.youtube.com/shorts/is3DsZzsElU,"July 29, 2024"
Concerts are for NPCs,https://www.youtube.com/shorts/b4NF5Z4I-Xg,"July 28, 2024"
Visiting Hitler’s Prison,https://www.youtube.com/shorts/ywFiaekvQmU,"July 28, 2024"
History Repeats Itself,https://www.youtube.com/shorts/xp6W5BmgWmk,"July 25, 2024"
Germans don’t like Police,https://www.youtube.com/shorts/ES075XlDV5A,"July 24, 2024"
Smuggled into Haiti,https://www.youtube.com/shorts/GQJKrQdL8Ww,"July 23, 2024"
I Visited Hitler’s Bunker,https://www.youtube.com/shorts/6OF6YdItlQ4,"July 21, 2024"
Hitler Died Here,https://www.youtube.com/shorts/aDZluYljbr0,"July 20, 2024"
Arab Jumps Out of a Plane,https://www.youtube.com/shorts/Yfd3gm8HeV8,"July 19, 2024"
Social Media is Banning Me,https://www.youtube.com/shorts/JcD8DPFWcDQ,"July 18, 2024"
I’m fat now,https://www.youtube.com/shorts/fSBBfUaBg_Y,"July 17, 2024"
"Buying a $300,000 Watch w/Belmar",https://www.youtube.com/shorts/wIH8ConByvQ,"July 15, 2024"
Inside a Dominican Smuggling Tunnel,https://www.youtube.com/shorts/H9C6HL3WoiQ,"July 15, 2024"
The Earth is Flat,https://www.youtube.com/shorts/Vk88fwrSbWY,"July 14, 2024"
World’s Most Expensive Cars,https://www.youtube.com/shorts/UNmB3cDRKbc,"July 13, 2024"
I’m being censored,https://www.youtube.com/shorts/xQz5kxHLq1c,"July 12, 2024"
$11M Watch Collection,https://www.youtube.com/shorts/Q0_XlYoN_Ls,"July 10, 2024"
Dubai’s Richest Neighborhood,https://www.youtube.com/shorts/gtf4rZ_E2G4,"July 9, 2024"
"$60,000 Toy Car in Dubai",https://www.youtube.com/shorts/lQJKHg1l26g,"July 8, 2024"
Don’t Let Women Drive,https://www.youtube.com/shorts/-C5rELCmX70,"July 7, 2024"
Dubai’s Largest Flood,https://www.youtube.com/shorts/km7fT-lDzv4,"July 6, 2024"
Street Food in the Caribbean,https://www.youtube.com/shorts/7npUWvsaBxQ,"July 4, 2024"
Never Eat at this Restaurant,https://www.youtube.com/shorts/BOA9qVeiyZ8,"July 3, 2024"
Homeless Person Robs Me,https://www.youtube.com/shorts/_vQE3ndNGjE,"July 2, 2024"
How to Solve Racism,https://www.youtube.com/shorts/mDx_g41UrcM,"July 1, 2024"
World’s Deadliest Narco Route,https://www.youtube.com/shorts/G85wCur6mWM,"June 30, 2024"
How to Treat Women,https://www.youtube.com/shorts/vMN2cb32n-I,"June 29, 2024"
Gang Shooting in Trinidad,https://www.youtube.com/shorts/PnSy5o6o4xM,"June 28, 2024"
Trinidad’s Most Dangerous Hood,https://www.youtube.com/shorts/78IsrpRr7GM,"June 27, 2024"
Deadliest Hood in Trinidad,https://www.youtube.com/shorts/emk9oPv_85A,"June 27, 2024"
Boxing Gangsters in the Hood,https://www.youtube.com/shorts/dOjSkmaHAdE,"June 26, 2024"
Deep in the Hoods of Trinidad,https://www.youtube.com/shorts/JGdU1t2Qj-E,"June 26, 2024"
How Trinidadians Hustle,https://www.youtube.com/shorts/iS3DjiKUEMk,"June 25, 2024"
Drinking Poison in Trinidad,https://www.youtube.com/shorts/BXNJ2fWZK9U,"June 25, 2024"
Setup in Hoods of Trinidad,https://www.youtube.com/shorts/xJA1XK9MjIY,"June 24, 2024"
Fighting Gangsters in Trinidad,https://www.youtube.com/shorts/qq_UotA6QrY,"June 24, 2024"
Meeting Gang Leader in Trinidad,https://www.youtube.com/shorts/3yIF0C2IqRc,"June 23, 2024"
Life in the Hoods of Trinidad,https://www.youtube.com/shorts/R_WKbFDirfg,"June 23, 2024"
I Stole His Comb,https://www.youtube.com/shorts/sLEw7rLVD6s,"June 22, 2024"
Feeding the Homeless in Trinidad,https://www.youtube.com/shorts/Cs5tvRKpJPs,"June 22, 2024"
Jamaica's Most Dangerous Hood,https://www.youtube.com/shorts/p4XbrVubEgY,"June 22, 2024"
Meeting Jamaican Gang Leader,https://www.youtube.com/shorts/22vTF_wesTw,"June 17, 2024"
World’s Best Vegan Food ,https://www.youtube.com/shorts/-4embgW7WtY,"June 16, 2024"
Feeding a Jamaican Child ,https://www.youtube.com/shorts/sBSz9Kd-EcI,"June 15, 2024"
Fighting a Dominican Gangster ,https://www.youtube.com/shorts/0L34aagcsEU,"June 13, 2024"
The World’s Most Wanted Man ,https://www.youtube.com/shorts/tzI4sU3Pl50,"June 12, 2024"
How Gangs Escape Police ,https://www.youtube.com/shorts/Xu1jr6MZXik,"June 11, 2024"
Meeting a Future Gang Leader,https://www.youtube.com/shorts/6LTPwNmDHs8,"June 10, 2024"
Buying a PlayStation in the Hood,https://www.youtube.com/shorts/IGOS9x-twYM,"June 9, 2024"
Dominican's Most Dangerous Hood,https://www.youtube.com/shorts/b1EQIa3U7wU,"June 8, 2024"
This is Modern Day Slavery,https://www.youtube.com/shorts/Z884SSuUpLk,"June 7, 2024"
Slavery is Legal Here,https://www.youtube.com/shorts/WI0dvJakOvM,"June 5, 2024"
How much for you to swim here?,https://www.youtube.com/shorts/-nsdiyC5er8,"June 4, 2024"
This is a Real Slave Plantation,https://www.youtube.com/shorts/-UgXX4K_is8,"June 3, 2024"
Slavery Still Exists Here,https://www.youtube.com/shorts/Kh0mFxb-tX8,"June 2, 2024"
Setup in the Jamaican Hoods,https://www.youtube.com/shorts/l6eCTC8J1XI,"June 2, 2024"
I Caught Them in 4K ,https://www.youtube.com/shorts/1SnO4c2FRMM,"June 1, 2024"
The Most Banned Sport Worldwide ,https://www.youtube.com/shorts/XSXmQxAK2zs,"May 30, 2024"
This is Legal in Dominican Republic ,https://www.youtube.com/shorts/gpVzJhQ9jtU,"May 29, 2024"
World’s Most Illegal Sport ,https://www.youtube.com/shorts/cuNagjmJK3M,"May 28, 2024"
Poisoned in the Dominican Republic ,https://www.youtube.com/shorts/UuIqmugZ-gM,"May 27, 2024"
I Survived Haiti ,https://www.youtube.com/shorts/9ImX8zcE4P8,"May 26, 2024"
Jailed in Haiti ,https://www.youtube.com/shorts/cetZCjgjjak,"May 24, 2024"
The World’s Most Dangerous Country ,https://www.youtube.com/shorts/8l0_gIZ0-4E,"May 24, 2024"
Evacuated from Haiti ,https://www.youtube.com/shorts/ozt2gr1nu8k,"May 23, 2024"
Gang Wars in Haiti ,https://www.youtube.com/shorts/pL_GK1-O9Mw,"May 22, 2024"
Meeting Haiti’s Most Powerful Man ,https://www.youtube.com/shorts/9f3VcYNioOA,"May 22, 2024"
Kidnapper Releases Me ,https://www.youtube.com/shorts/-569BqdIuqk,"May 21, 2024"
I Caught Him Lying ,https://www.youtube.com/shorts/MW7GG8-3SBg,"May 21, 2024"
Abducted by a Warlord pt.8,https://www.youtube.com/shorts/fk3eozm4c7A,"May 20, 2024"
Abducted by a Warlord pt.7,https://www.youtube.com/shorts/1LdF7MRuF2o,"May 19, 2024"
Abducted by a Warlord pt.6,https://www.youtube.com/shorts/8lEiLHj02Lk,"May 19, 2024"
Interrogated by the FBI ,https://www.youtube.com/shorts/6USf7cXgZwg,"Apr 25, 2024"
Renting a Broken Car ,https://www.youtube.com/shorts/nkyhnMzjY6o,"Apr 27, 2024"
How Haitians Bet,https://www.youtube.com/shorts/rJmTuLaoyuo,"Apr 25, 2024"
